Altium Designer Pick and Place Locations
C:\Users\pelop\Desktop\Neckog\Project Outputs for Printing\Pick Place for Printing2.csv

========================================================================================================================
File Design Information:

Date:       07.06.23
Time:       23:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"R103","StandardResistor","TopLayer","R_0805_GEN_0.70H","125.1308","164.5496","270"
"R102","StandardResistor","TopLayer","R_0805_GEN_0.70H","87.3615","163.2966","270"
"R101","StandardJumper","TopLayer","R_0805_GEN_0.70H","122.1590","164.5496","90"
"R100","StandardJumper","TopLayer","R_0805_GEN_0.70H","84.6950","163.3516","90"
"R99","StandardResistor","TopLayer","R_0805_GEN_0.70H","116.7690","171.7992","180"
"R98","StandardResistor","TopLayer","R_0805_GEN_0.70H","79.6140","171.5452","180"
"R97","StandardResistor","TopLayer","R_0805_GEN_0.70H","71.4098","176.4622","180"
"R96","StandardResistor","TopLayer","R_0805_GEN_0.70H","55.5300","173.9926","0"
"R95","StandardResistor","TopLayer","R_0805_GEN_0.70H","48.0418","176.0304","180"
"R94","StandardResistor","TopLayer","R_0805_GEN_0.70H","31.8050","173.8656","0"
"R93","StandardResistor","TopLayer","R_0805_GEN_0.70H","63.1040","163.6606","270"
"R92","StandardResistor","TopLayer","R_0805_GEN_0.70H","40.2440","162.9686","270"
"R91","StandardJumper","TopLayer","R_0805_GEN_0.70H","60.5640","163.6606","90"
"R90","StandardJumper","TopLayer","R_0805_GEN_0.70H","37.7040","162.9686","90"
"R89","StandardResistor","TopLayer","R_0805_GEN_0.70H","55.5300","171.5452","180"
"R88","StandardResistor","TopLayer","R_0805_GEN_0.70H","31.8050","171.4182","180"
"R81","StandardResistor","TopLayer","R_0805_GEN_0.70H","59.0997","11.7838","270"
"R79","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.3064","145.4648","180"
"R78","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.3064","134.5478","180"
"R77","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.4334","157.5278","180"
"R76","StandardResistor","TopLayer","R_0805_GEN_0.70H","68.8340","11.7540","270"
"R75","StandardResistor","TopLayer","R_0805_GEN_0.60H","61.7272","11.7838","90"
"R73","StandardResistor","TopLayer","R_0805_GEN_0.60H","71.4615","11.7540","90"
"R72","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.3064","142.7848","180"
"R71","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.3064","131.8978","180"
"R70","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.4334","154.8378","180"
"R69","StandardResistor","TopLayer","R_0805_GEN_0.70H","19.9174","93.5814","180"
"R68","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.1794","123.0298","180"
"R67","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.4334","110.5058","180"
"R66","StandardResistor","TopLayer","R_0805_GEN_0.70H","26.7814","82.5186","90"
"R65","StandardResistor","TopLayer","R_0805_GEN_0.70H","20.1714","81.2686","180"
"R64","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.1794","120.3798","180"
"R63","StandardResistor","TopLayer","R_0805_GEN_0.70H","23.4334","107.8758","180"
"R62","StandardResistor","TopLayer","R_0805_GEN_0.70H","24.1514","82.5186","90"
"R61","StandardResistor","TopLayer","R_0805_GEN_0.70H","138.3392","147.6356","90"
"R60","StandardResistor","TopLayer","R_0805_GEN_0.70H","78.9380","155.1032","90"
"R59","StandardResistor","TopLayer","R_0805_GEN_0.60H","135.9088","147.6356","90"
"R58","StandardResistor","TopLayer","R_0805_GEN_0.60H","76.5076","155.1032","90"
"R56","StandardJumper","TopLayer","R_0805_GEN_0.70H","175.3870","89.8590","90"
"R55","StandardJumper","TopLayer","R_0805_GEN_0.70H","150.4624","96.9738","180"
"R54","StandardJumper","TopLayer","R_0805_GEN_0.70H","178.9430","91.1860","180"
"R53","StandardResistor","TopLayer","R_0805_GEN_0.70H","58.1660","152.9080","90"
"R52","StandardResistor","TopLayer","R_0805_GEN_0.70H","64.6938","186.3198","90"
"R51","StandardResistor","TopLayer","R_0805_GEN_0.60H","180.0472","121.7800","180"
"R50","StandardResistor","TopLayer","R_0805_GEN_0.60H","55.8116","152.9780","90"
"R49","StandardResistor","TopLayer","R_0805_GEN_0.60H","59.7507","186.3198","90"
"R48","StandardResistor","TopLayer","R_0805_GEN_0.70H","136.9060","185.2360","90"
"R47","StandardResistor","TopLayer","R_0805_GEN_0.70H","123.0376","185.1598","90"
"R46","StandardResistor","TopLayer","R_0805_GEN_0.70H","180.1658","182.2877","0"
"R45","StandardResistor","TopLayer","R_0805_GEN_0.70H","35.2366","72.0592","270"
"R44","StandardResistor","TopLayer","R_0805_GEN_0.70H","180.3084","171.8185","0"
"R43","StandardResistor","TopLayer","R_0805_GEN_0.60H","139.5460","185.2360","90"
"R42","StandardResistor","TopLayer","R_0805_GEN_0.60H","125.6426","185.1598","90"
"R41","StandardResistor","TopLayer","R_0805_GEN_0.60H","180.1658","179.7177","0"
"R40","StandardResistor","TopLayer","R_0805_GEN_0.60H","180.3084","169.2535","0"
"R36","StandardResistor","TopLayer","R_0805_GEN_0.70H","128.6425","48.4355","90"
"R34","StandardResistor","TopLayer","R_0805_GEN_0.70H","128.8415","33.1535","90"
"R31","StandardResistor","TopLayer","R_0805_GEN_0.70H","88.8492","125.4760","90"
"R27","StandardResistor","TopLayer","R_0805_GEN_0.70H","89.7890","134.5184","270"
"R20","StandardResistor","TopLayer","R_0805_GEN_0.70H","98.5965","64.5287","90"
"R19","StandardResistor","TopLayer","R_0805_GEN_0.70H","95.4214","75.1967","180"
"R18","StandardResistor","TopLayer","R_0805_GEN_0.70H","164.8206","74.4220","180"
"R17","StandardResistor","TopLayer","R_0805_GEN_0.70H","170.2562","75.6158","90"
"R16","StandardResistor","TopLayer","R_0805_GEN_0.70H","173.0502","80.6704","270"
"R15","22R","TopLayer","R_0805_GEN_0.60H","170.2562","80.6704","270"
"R14","22R","TopLayer","R_0805_GEN_0.60H","173.0502","75.6158","90"
"R13","StandardResistor","TopLayer","R_0805_GEN_0.60H","168.8772","66.7004","270"
"R12","StandardResistor","TopLayer","R_0805_GEN_0.60H","165.1882","54.0004","270"
"R11","StandardResistor","TopLayer","R_0805_GEN_0.60H","167.9942","58.9534","270"
"R10","StandardResistor","TopLayer","R_0805_GEN_0.60H","166.4582","66.7004","90"
"R178","StandardResistor","TopLayer","R_0805_GEN_0.70H","72.5788","48.9968","180"
"R9","StandardResistor","TopLayer","R_0805_GEN_0.70H","114.2145","65.4887","180"
"R8","StandardResistor","TopLayer","R_0805_GEN_0.60H","170.8002","58.9534","270"
"R180","StandardResistor","TopLayer","R_0805_GEN_0.70H","72.5684","54.0834","180"
"R184","StandardResistor","TopLayer","R_0805_GEN_0.70H","37.6496","55.2952","270"
"R7","StandardResistor","TopLayer","R_0805_GEN_0.70H","114.2145","62.8587","180"
"R183","StandardResistor","TopLayer","R_0805_GEN_0.70H","35.2366","57.0732","270"
"R6","StandardResistor","TopLayer","R_0805_GEN_0.60H","170.8002","54.0004","270"
"R5","StandardResistor","TopLayer","R_0805_GEN_0.60H","167.9942","54.0004","270"
"R182","StandardResistor","TopLayer","R_0805_GEN_0.70H","37.6496","70.7892","270"
"R4","StandardResistor","TopLayer","R_0805_GEN_0.60H","162.3822","54.0004","270"
"R181","StandardResistor","TopLayer","R_0805_GEN_0.70H","72.5938","56.5726","180"
"R3","StandardResistor","TopLayer","R_0805_GEN_0.70H","118.2370","86.1060","0"
"R179","StandardResistor","TopLayer","R_0805_GEN_0.70H","72.5788","51.6068","180"
"R2","StandardResistor","TopLayer","R_0805_GEN_0.60H","83.0155","75.8317","90"
"R1","StandardResistor","TopLayer","R_0805_GEN_0.60H","86.5315","75.8317","90"
"Q23","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","144.1048","90"
"Q22","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","133.0778","90"
"Q21","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","162.3800","151.0156","0"
"Q20","SingleNPN_B1E2C3","TopLayer","SOT23-3_MMBT3904,215","162.3800","147.2556","0"
"Q19","PJA3405_R1_00001","TopLayer","PJA3405_R1_00001","165.9382","49.6824","90"
"Q7","BC817-40W,115","TopLayer","BC817-40W,115","86.6140","5.8420","270"
"Q13","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","121.6601","90"
"Q12","SingleNMOS_G1S3DTAB","TopLayer","DPAK_SQD50N10-8M9L","14.9794","109.1658","90"
"Q3","SingleNMOS_G1S3DTAB","TopLayer","D2PAK-3_SQM60N20-35","97.8390","127.0254","270"
"P5","5.08 Klemens","TopLayer","5.08_KLEMENS","11.1760","29.9720","90"
"P4","5.08 Klemens","TopLayer","5.08_KLEMENS","11.1760","44.8310","90"
"P2","5.08 Klemens","TopLayer","5.08_KLEMENS","11.3030","59.8170","90"
"P1","5.08 Klemens","TopLayer","5.08_KLEMENS","11.1760","72.3900","90"
"L10","FerriteBead","TopLayer","FB_0805_GEN_1.10H","161.6202","66.7004","270"
"L6","FerriteBead","TopLayer","FB_0805_GEN_1.10H","131.6990","48.3870","270"
"L5","7.2uH","TopLayer","7447798720","102.7430","49.9110","0"
"L4","FerriteBead","TopLayer","FB_0805_GEN_1.10H","124.0155","33.1535","90"
"L3","FerriteBead","TopLayer","FB_0805_GEN_1.10H","164.8206","80.2640","180"
"L2","FerriteBead","TopLayer","FB_0805_GEN_1.10H","171.2962","66.7004","90"
"L1","FerriteBead","TopLayer","FB_0805_GEN_1.10H","115.9955","71.2597","270"
"J54","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","3.6634","179.7858","270"
"J52","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","3.6634","168.3678","270"
"J51","L-KLS1-207-1-03-S","TopLayer","L-KLS1-207-1-03-S","41.6052","20.1168","90"
"J50","L-KLS1-207-1-03-S","TopLayer","L-KLS1-207-1-03-S","41.9166","36.4262","90"
"J49","L-KLS1-207-1-03-S","TopLayer","L-KLS1-207-1-03-S","41.8066","52.9962","90"
"J48","L-KLS1-207-1-03-S","TopLayer","L-KLS1-207-1-03-S","41.4596","68.3762","90"
"J47","BH10B-XH-2(LF)(SN)","TopLayer","BH10B-XH-2(LF)(SN)","158.9188","191.9040","0"
"J46","B4B-XH-A(LF)(SN)","TopLayer","JST_B4B-XH-A(LF)(SN)","150.2990","180.1296","180"
"J45","B4B-XH-A(LF)(SN)","TopLayer","JST_B4B-XH-A(LF)(SN)","123.9890","180.1296","180"
"J44","B4B-XH-A(LF)(SN)","TopLayer","JST_B4B-XH-A(LF)(SN)","86.2940","179.8756","180"
"J43","B4B-XH-A(LF)(SN)","TopLayer","JST_B4B-XH-A(LF)(SN)","62.1660","179.8756","180"
"J42","B4B-XH-A(LF)(SN)","TopLayer","JST_B4B-XH-A(LF)(SN)","38.8940","179.8756","180"
"J36","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","57.7088","3.7846","0"
"J33","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","3.7904","144.0948","270"
"J32","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","3.7904","133.0678","270"
"J31","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","3.9174","156.1478","270"
"J29","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","3.5560","121.6660","270"
"J28","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","3.5560","107.9500","270"
"J25","L-KLS1-207-2-10-S","TopLayer","L-KLS1-207-2-10-S","71.1200","89.1540","180"
"J18","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","15.9150","191.5160","180"
"J17","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","62.2046","191.5160","180"
"J16","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","136.7790","192.0410","180"
"J15","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","122.9760","192.0240","180"
"J14","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","186.4808","182.3777","90"
"J13","B3B-XH-A(LF)(SN)","TopLayer","JST_B3B-XH-A(LF)(SN)","186.6234","171.7335","90"
"J11","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","111.7600","126.6644","90"
"J10","5.08 Klemens","TopLayer","5.08_KLEMENS","127.7620","11.5570","180"
"J8","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","78.3590","191.6430","180"
"J7","B2B-XH-A(LF)(SN)","TopLayer","JST_B2B-XH-A(LF)(SN)","89.0270","191.7700","180"
"J6","B4B-XH-A(LF)(SN)","TopLayer","JST_B4B-XH-A(LF)(SN)","186.4360","159.7460","90"
"J5","B4B-XH-A(LF)(SN)","TopLayer","JST_B4B-XH-A(LF)(SN)","30.8810","191.5160","180"
"J4","USB-A-S-X-X-TH","TopLayer","SAMTEC_USB-A-S-X-X-TH","177.3340","77.0550","90"
"J3","5PH1SDA25-203G0NNBL-3X6","TopLayer","5PH1SDA25-203G0NNBL-3X6","106.4445","63.7887","180"
"J2","USB-B-S-X-X-TH","TopLayer","SAMTEC_USB-B-S-X-X-TH","175.9402","54.8694","90"
"J1","L-KLS1-207-1-03-S","TopLayer","L-KLS1-207-1-03-S","184.2770","64.7700","0"
"IC3","TPS54560BDDA","TopLayer","VREG_LM5017MR/NOPB","120.2055","40.0355","90"
"IC2","MCU-STM32F407VET6(LQFP100)","TopLayer","LQFP100-0.5-13.8X13.8MM","103.4445","87.2487","90"
"FID3","Fiducial_1.00x3.00","TopLayer","SMD_1.00x3.00_FID","64.1350","103.3272","270"
"FID2","Fiducial_1.00x3.00","TopLayer","SMD_1.00x3.00_FID","54.3306","103.5812","270"
"FID1","Fiducial_1.00x3.00","TopLayer","SMD_1.00x3.00_FID","59.4360","98.6790","0"
"F1","Glass Fuse","TopLayer","2410_SIGORTA","176.1490","64.7700","0"
"D7","S5M-E3/57T","TopLayer","B560C-13-F","101.9810","23.6220","0"
"D6","KP-2012SRC-PRV","TopLayer","0805_LED","168.9100","186.5630","270"
"D2","B560C-13-F","TopLayer","B560C-13-F","114.0125","48.3455","0"
"D1","SK54BL","TopLayer","SMB_NRVBS360BT3G","136.6545","44.5485","90"
"C85","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","107.8230","108.3310","180"
"C84","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","111.3790","109.8550","90"
"C83","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","113.2840","117.4750","270"
